1,Issue with the 3rd brake light and trunk lights on my 2013 Charger (self.Dodge),Yan2295,3,comment
2,Trunk Won't Open by Button Nor Fob - 07 Charger 2.7 A/T - Common Causes? TIA (self.Dodge),E580BAEDA44A,2,3
3,[Q] turn OFF auto unlock? (self.Dodge),quietlyposts,8,3
4,Caravan back cover thingy part (self.Dodge),screwdriver974,7,2
5,Dodge Avenger problem (self.Dodge),NuclearFallout25,10,16
6,2009 dodge journey 2.4 Flex Pipe Issues (self.Dodge),ryanwhite90,2,2
7,Charger/Challenger 5.7 potential? (self.Dodge),Kazaam281,3,18
8,426 Crank Inspection advice (self.Dodge),ravenousjoe,7,comment
9,Hellcat or suit up scat pack?? (self.Dodge),MediocreBattle,3,10
10,Power Steering - 07 Caliber (self.Dodge),oscarG0LDMAN,1,8
11,Has anyone here tried updating the maps on their system? (self.Dodge),ultrasuperman1001,1,comment
12,Headlights not as bright (self.Dodge),TabascoSwet,1,3
13,Need advice on 2016 Durango (self.Dodge),mechengineer89,2,3
14,Dodge Durango Audio problem (self.Dodge),garysully1986,3,2
15,"This is dumb, but what is that yellow lip thing I see on some chargers and challengers? It looks real cool on certain trims. (self.Dodge)",niceloner10463484,12,15
16,09 Dodge Caliber Leak (self.Dodge),jphelps747,5,7
17,Anybody ever upgrade from the 5.7 hemi to the 6.1 srt8? (self.Dodge),Gov_asseater,4,6
18,2005 Dodge Ram SRT-10 (self.Dodge),iiNuclearzii,5,6
19,1997 dodge 1500 5.9L (self.Dodge),lo_energy,5,2
20,Paint damage (self.Dodge),TreesandRumbleBee,2,7
21,Just joined the family. (self.Dodge),dodgedurango2018,13,comment
22,Need advice for my 2017 GT caravan A/V system. (self.Dodge),ArmyVetRN,9,4
23,New... Durango? (self.Dodge),r-Sam,8,12
24,Rear end swap on a 1999 Dakota 4x4? (self.Dodge),this_name_taken,2,2
25,Dodge Dart Owners: Is your Dart plagued with rattles? (self.Dodge),DoctorBrohoof,2,1
26,Looking to buy a used 2011 charger v6. Are there any common problems I should be looking for? (self.Dodge),Ur_boi_skinny_penis,3,16
27,How to remove antenna mast from my Dodge Caravan 2009? (self.Dodge),iicbm,6,2
28,2015 Dodge Journeyx opinions (self.Dodge),TCherikKillmonger,7,5
29,Caliber Ignition Coil Connectors (self.Dodge),lordfly911,3,6
30,I'm thinking about getting a Charger Pursuit (Police edition) do y'all have any thoughts? (self.Dodge),Red-Panda,17,12
31,Dodge Caliber srt4 Brake Pad (self.Dodge),thesadunicorn,5,3
32,Ambient air temperature sensor - 2012 Journey (self.Dodge),Ginagard,6,5
33,Radio 3.0 help (self.Dodge),trantula45,2,comment
34,NASCAR Return? (self.Dodge),Foxfeet5,17,9
